gene,category,base_mean_count,dispersion_alpha,deseq2_base_mean,de_log2_fc,de_pvalue,fdr,disease_sex_log2_fc,disease_sex_pvalue,disease_sex_fdr,mean_count,de_significant,neg_log10_fdr,lightgbm_gain,gain_rank,nonzero_gain
G045,age_only,42.07946645364459,0.2701164789913134,42.779998900338725,0.023751439980611286,0.7937542589207064,0.9170267006470282,0.15727212990004186,0.38636359643514395,0.8732866983346651,47.253125,False,0.03761801899208463,0.8538839817047119,61,True
G046,age_only,76.01850780344728,0.18523753005892624,80.33350377066398,-0.05199298741286334,0.4552898560455263,0.8340294915545284,-0.016266174280936272,0.9070571007938569,0.9915857195058293,89.434375,False,0.0788185922963813,0.0,227,False
G047,age_only,69.7947413999265,0.1946218159067271,74.61693534881915,-0.03609701646190793,0.6239967498815321,0.8811065218234596,-0.11700603030364583,0.42670994307857735,0.883901435600926,81.8625,False,0.05497158416049048,0.0,229,False
G048,age_only,37.14267871488916,0.29538565006064277,38.745338965416565,0.03761558448880313,0.7022908425659865,0.8905696636826905,-0.05411836166592738,0.7833779860264415,0.9696851575762189,43.165625,False,0.050332102736797536,0.0,230,False
G049,age_only,67.85503792635917,0.1978983940541325,72.00987207408843,-0.09054914754297384,0.20229862513972385,0.6706639203001714,-0.024434230390508193,0.8634459595082168,0.9915857195058293,79.453125,False,0.1734950567665723,0.0,231,False
G050,age_only,52.989205841540766,0.23097414412896178,56.02180717865529,0.07729332113686312,0.3268105642597414,0.7486989444578076,-0.2520610555928229,0.10861565169605387,0.7854205743087944,61.375,False,0.12569277915521565,0.0,232,False
G051,age_only,69.81374803455809,0.19459061037719916,69.19353818553422,-0.05013233099836317,0.49448680616899376,0.8455994142356438,0.029408317197218672,0.8412133732737064,0.9915857195058293,76.125,False,0.07283532654537438,0.0,233,False
G052,age_only,69.89559009577759,0.19445643407599306,72.89804890897751,-0.13314593557737892,0.07243030038375912,0.40969676314046055,-0.20184174781078856,0.17234730680501498,0.817161175346117,80.78125,False,0.3875374672301377,0.0,234,False
G053,age_only,74.18620192466348,0.1878367646873747,75.3087243744403,-0.22798708987894017,0.002175490478499334,0.02369730699793917,-0.19032241385119628,0.19981367120067872,0.8201535051288666,82.496875,True,1.6253010051454833,0.0,235,False
G054,age_only,59.52625712176828,0.21439447374685455,62.66677085336089,0.07377524240976989,0.3588160041425472,0.7753387980281078,-0.32961388739315506,0.03924516968716061,0.7442666145038506,68.184375,False,0.11050848334904428,0.0,236,False
G040,distribution_shift,87.82674628662677,0.16539539852157786,79.61146842267942,0.04713234357807804,0.6987073584392798,0.8905696636826905,0.057256574004864016,0.8141598877186195,0.9795069746063828,87.596875,False,0.050332102736797536,44.12054160237312,11,True
G041,distribution_shift,30.483779821729353,0.3260324816627193,28.494931843408274,-0.01556128997738926,0.912245404268536,0.9657209516041162,0.12212723094336424,0.6654101564519614,0.949730333487275,30.90625,False,0.015148346344181005,0.351298987865448,67,True
G042,distribution_shift,57.26246811829551,0.2109758424052932,57.05144508826123,-0.03618229657924743,0.7853256183832806,0.9117031201263728,0.049618421848216895,0.8518695981939567,0.9915857195058293,61.3,False,0.040146558909566754,350.1913433074951,1,True
